,,,,"Gueckedou, Guinea","Gueckedou, Guinea","Gueckedou, Guinea","Gueckedou, Guinea","Donka, Conakry, Guinea","Donka, Conakry, Guinea","Donka, Conakry, Guinea","Donka, Conakry, Guinea","Foya, Liberia","Foya, Liberia","Foya, Liberia","Foya, Liberia","Monrovia, Liberia","Monrovia, Liberia","Monrovia, Liberia","Monrovia, Liberia","Freetown (POW), Sierra Leone","Freetown (POW), Sierra Leone","Freetown (POW), Sierra Leone","Freetown (POW), Sierra Leone","Kailahun, Sierra Leone","Kailahun, Sierra Leone","Kailahun, Sierra Leone","Kailahun, Sierra Leone","Bo, Sierra Leone","Bo, Sierra Leone","Bo, Sierra Leone","Bo, Sierra Leone","Magburaka, Sierra Leone","Magburaka, Sierra Leone","Magburaka, Sierra Leone","Magburaka, Sierra Leone"
Year,Week,Date,Day,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered,Admitted,Confirmed,Died,Recovered
2014,12,3/22/2014,0,5,4,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,13,3/24/2014,2,14,11,8,1,10,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,
2014,14,3/31/2014,9,14,8,8,1,7,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,
2014,15,4/7/2014,16,17,14,4,4,12,7,1,4,,,,,,,,,,,,,,,,,,,,,,,,
2014,16,4/14/2014,23,7,4,6,2,26,9,7,3,,,,,,,,,,,,,,,,,,,,,,,,
2014,17,4/21/2014,30,15,6,3,4,16,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,
2014,18,4/28/2014,37,10,1,3,3,4,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
2014,19,5/5/2014,44,34,7,1,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014,20,5/12/2014,51,28,6,6,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,
2014,21,5/19/2014,58,31,11,6,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014,22,5/26/2014,65,39,12,5,4,6,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2014,23,6/2/2014,72,14,4,9,3,23,11,3,0,1,1,,,,,,,,,,,,,,,,,,,,,,
2014,24,6/9/2014,79,45,25,12,5,14,1,2,5,18,7,1,0,,,,,,,,,,,,,,,,,,,,
2014,25,6/16/2014,86,21,17,9,3,16,4,0,5,26,17,4,2,,,,,,,,,,,,,,,,,,,,
2014,26,6/23/2014,93,30,18,19,5,20,5,3,1,10,8,6,4,,,,,,,,,7,5,,,,,,,,,,
2014,27,6/30/2014,100,6,1,4,7,5,0,0,1,8,7,8,5,,,,,,,,,45,28,11,1,,,,,,,,
2014,28,7/7/2014,107,3,2,4,0,8,0,0,1,18,13,5,5,,,,,,,,,43,38,26,4,,,,,,,,
2014,29,7/14/2014,114,8,2,0,0,5,0,0,1,9,3,5,4,,,,,,,,,35,22,19,7,,,,,,,,
2014,30,7/21/2014,121,10,5,5,1,30,17,3,1,24,19,7,3,,,,,,,,,42,32,6,4,,,,,,,,
2014,31,7/28/2014,128,11,7,1,0,17,1,2,3,53,34,21,1,,,,,,,,,82,52,20,16,,,,,,,,
2014,32,8/4/2014,135,19,12,10,1,15,2,1,5,67,44,18,7,,,,,,,,,44,19,21,13,,,,,,,,
2014,33,8/11/2014,142,44,31,6,1,18,8,3,5,119,36,29,14,9,5,,,,,,,39,27,26,14,,,,,,,,
2014,34,8/18/2014,149,89,47,24,12,47,21,4,1,104,62,27,10,190,108,19,0,,,,,37,27,15,4,,,,,,,,
2014,35,8/25/2014,156,74,44,25,10,59,27,12,11,70,48,29,17,152,114,50,13,,,,,49,32,15,13,,,,,,,,
2014,36,9/1/2014,163,98,62,30,14,37,8,9,8,36,20,23,18,129,108,54,43,,,,,48,40,20,10,,,,,,,,
