Date,Day,Cases_Guinea,Deaths_Guinea
3/22/2014,0,49,29
3/24/2014,2,86,59
3/25/2014,3,86,60
3/26/2014,4,86,62
3/27/2014,5,103,66
3/28/2014,6,112,70
3/29/2014,7,112,70
3/31/2014,9,122,80
4/1/2014,10,127,83
4/4/2014,13,143,86
4/7/2014,16,151,95
4/9/2014,18,158,101
4/11/2014,20,159,106
4/14/2014,23,168,108
4/16/2014,25,197,122
4/17/2014,26,203,129
4/20/2014,29,208,136
4/23/2014,32,218,141
4/26/2014,35,224,143
5/1/2014,40,226,149
5/3/2014,42,231,155
5/5/2014,44,235,157
5/7/2014,46,236,158
5/10/2014,49,233,157
5/12/2014,51,248,171
5/23/2014,62,258,174
5/27/2014,66,281,186
5/28/2014,67,291,193
6/1/2014,71,328,208
6/3/2014,73,344,215
6/10/2014,80,351,226
6/16/2014,86,398,264
6/18/2014,88,390,267
6/20/2014,90,390,270
6/30/2014,100,413,303
7/2/2014,102,412,305
7/6/2014,106,408,307
7/8/2014,108,409,309
7/12/2014,112,406,304
7/14/2014,114,411,310
7/17/2014,117,410,310
7/20/2014,120,415,314
7/23/2014,123,427,319
7/27/2014,127,460,339
7/30/2014,130,472,346
8/1/2014,132,485,358
8/4/2014,135,495,363
8/6/2014,137,495,367
8/9/2014,140,506,373
8/11/2014,142,510,377
8/13/2014,144,519,380
8/16/2014,147,543,394
8/18/2014,149,579,396
8/20/2014,151,607,406
8/26/2014,157,648,430
8/31/2014,162,771,494
9/5/2014,167,812,517
9/7/2014,169,861,557
9/10/2014,172,899,568
9/13/2014,175,936,595
9/14/2014,176,942,601
9/19/2014,181,1008,632
9/21/2014,183,1022,635
9/23/2014,185,1074,648
9/28/2014,190,1157,710
10/1/2014,193,1199,739
10/5/2014,197,1298,768
10/7/2014,199,1350,778
10/12/2014,204,1472,843
10/14/2014,206,1519,862
10/19/2014,211,1540,904
10/21/2014,213,1553,926
10/29/2014,221,1667,1018
11/2/2014,225,1731,1041
11/3/2014,226,1760,1054
11/9/2014,232,1878,1142
11/11/2014,234,1919,1166
11/16/2014,239,1971,1192
11/18/2014,241,2047,1214
11/23/2014,246,2134,1260
11/30/2014,253,2164,1327
12/7/2014,260,2292,1428
12/14/2014,267,2416,1525
12/20/2014,273,2571,1586
12/21/2014,274,2597,1607
12/27/2014,280,2695,1697
12/28/2014,281,2706,1708
12/31/2014,284,2730,1739
1/3/2015,287,2769,1767
1/4/2015,288,2775,1781
1/5/2015,289,2776,1786
1/10/2015,294,2799,1807
1/12/2015,296,2817,1821
1/18/2015,302,2871,1876
1/24/2015,308,2909,1906
1/27/2015,311,2920,1913
2/2/2015,317,2986,1947
2/10/2015,325,3081,2032
2/15/2015,330,3108,2057
2/21/2015,336,3155,2086
2/22/2015,337,3155,2091
3/1/2015,344,3219,2129
3/15/2015,358,3389,2224
