Date,Day,Cases_other,Deaths_Other,Cases_other,Deaths_Other,,,Cases_Nigeria,Cases_Senegal,Cases_UnitedStates,Cases_Spain,Cases_Mali,Deaths_Nigeria,Deaths_Senegal,Deaths_UnitedStates,Deaths_Spain,Deaths_Mali
7/23/2014,123,0,0,0,0,,,0,,,,,0,,,,
7/27/2014,127,1,1,1,0,,,1,,,,,1,,,,
7/30/2014,130,3,1,1,0,,,3,,,,,1,,,,
8/1/2014,132,4,1,1,0,,,4,,,,,1,,,,
8/4/2014,135,9,1,1,0,,,9,,,,,1,,,,
8/6/2014,137,13,2,2,0,,,13,,,,,2,,,,
8/9/2014,140,13,2,2,0,,,13,,,,,2,,,,
8/11/2014,142,12,3,3,0,,,12,,,,,3,,,,
8/13/2014,144,12,4,4,0,,,12,,,,,4,,,,
8/16/2014,147,15,4,4,0,,,15,,,,,4,,,,
8/18/2014,149,15,4,4,0,,,15,,,,,4,,,,
8/20/2014,151,16,5,5,0,,,16,,,,,5,,,,
8/26/2014,157,17,6,6,0,,,17,,,,,6,,,,
8/31/2014,162,21,7,7,0,,,20,1,,,,7,,,,
9/5/2014,167,21,8,8,0,,,20,1,,,,8,,,,
9/7/2014,169,21,8,8,0,,,20,1,,,,8,0,,,
9/10/2014,172,21,8,8,0,,,20,1,,,,8,,,,
9/13/2014,175,21,8,8,0,,,20,1,,,,8,0,,,
9/21/2014,183,21,8,8,0,,,20,1,,,,8,0,,,
9/23/2014,185,21,8,8,0,,,20,1,,,,8,0,,,
9/28/2014,190,21,8,8,0,,,20,1,,,,8,0,,,
10/1/2014,193,22,8,9,0,,,20,1,1,,,8,0,0,,
10/5/2014,197,22,8,9,0,,,20,1,1,,,8,0,0,,
10/8/2014,200,23,10,10,2,,,20,1,1,1,,8,0,1,1,
10/12/2014,204,24,10,11,2,,,20,1,2,1,,8,0,1,1,
10/14/2014,206,25,10,12,2,,,20,1,3,1,,8,0,1,1,
10/19/2014,211,25,10,12,2,,,20,1,3,1,,8,0,1,1,
10/27/2014,219,27,11,14,3,,,20,1,4,1,1,8,0,1,1,1
10/29/2014,221,27,11,14,3,,,20,1,4,1,1,8,0,1,1,1
11/2/2014,225,27,11,14,3,,,20,1,4,1,1,8,0,1,1,1
11/4/2014,227,27,11,14,3,,,20,1,4,1,1,8,0,1,1,1
11/9/2014,232,27,11,14,3,,,20,1,4,1,1,8,0,1,1,1
11/11/2014,234,30,13,17,5,,,20,1,4,1,4,8,0,1,1,3
11/16/2014,239,31,15,18,7,,,20,1,4,1,5,8,0,1,1,5
11/18/2014,241,32,16,19,8,,,20,1,4,1,6,8,0,1,1,6
11/23/2014,246,33,16,20,8,,,20,1,4,1,7,8,0,1,1,6
11/30/2014,253,33,16,20,8,,,20,1,4,1,7,8,0,1,1,6
12/7/2014,260,33,16,20,8,,,20,1,4,1,7,8,0,1,1,6
