Date,Day,Cases_SierraLeone,Deaths_SierraLeone
5/27/2014,66,16,5
5/28/2014,67,50,6
6/1/2014,71,79,6
6/5/2014,75,81,6
6/10/2014,80,89,7
6/17/2014,87,97,49
6/18/2014,88,136,28
6/20/2014,90,158,34
6/30/2014,100,239,99
7/2/2014,102,252,101
7/6/2014,106,305,127
7/8/2014,108,337,142
7/12/2014,112,386,194
7/14/2014,114,397,197
7/17/2014,117,442,206
7/20/2014,120,454,219
7/23/2014,123,525,224
7/27/2014,127,533,233
7/30/2014,130,574,252
8/1/2014,132,646,273
8/4/2014,135,691,286
8/6/2014,137,717,298
8/9/2014,140,730,315
8/11/2014,142,783,334
8/13/2014,144,810,348
8/16/2014,147,848,365
8/18/2014,149,907,374
8/20/2014,151,910,392
8/26/2014,157,1026,422
8/31/2014,162,1216,476
9/5/2014,167,1261,491
9/7/2014,169,1424,524
9/10/2014,172,1478,536
9/13/2014,175,1620,562
9/14/2014,176,1673,562
9/20/2014,182,1813,593
9/21/2014,183,1940,597
9/23/2014,185,2021,605
9/28/2014,190,2304,622
10/1/2014,193,2437,623
10/5/2014,197,2789,879
10/8/2014,200,2950,930
10/12/2014,204,3252,1183
10/14/2014,206,3410,1200
10/19/2014,211,3706,1259
10/22/2014,214,3896,1281
11/2/2014,225,4759,1070
11/4/2014,227,4862,1130
11/9/2014,232,5368,1169
11/11/2014,234,5586,1187
11/16/2014,239,6073,1250
11/18/2014,241,6190,1267
11/23/2014,246,6599,1398
11/30/2014,253,7312,1583
12/7/2014,260,7897,1768
12/14/2014,267,8356,2085
12/20/2014,273,8939,2556
12/21/2014,274,9004,2582
12/24/2014,277,9203,2655
12/27/2014,280,9409,2732
12/28/2014,281,9446,2758
12/31/2014,284,9633,2827
1/3/2015,287,9722,2915
1/4/2015,288,9780,2943
1/5/2015,289,10030,2977
1/10/2015,294,10094,3049
1/12/2015,296,10150,3067
1/18/2015,302,10340,3145
1/24/2015,308,10491,3195
1/27/2015,311,10561,3216
2/2/2015,317,10756,3286
2/10/2015,325,10987,3363
2/15/2015,330,11103,3408
2/17/2015,332,11155,3423
2/22/2015,337,11301,3461
3/1/2015,344,11466,3546
3/8/2015,351,11619,3629
3/15/2015,358,11751,3691
